feature,F_statistic,p_value,mean_fraud,mean_legit,diff_abs
card_has_prior_fraud_count,290803.58908504044,0.0,5.04720724387018,0.016709638442264294,5.030497605427916
email_has_prior_fraud_count,45944.26628142087,0.0,138.47726116593753,3.1677612974936187,135.3094998684439
merchant_fraud_rate,36490.242576957025,0.0,0.021659269807596276,0.003620858695361905,0.018038411112234372
is_threeds,14406.515076758757,0.0,0.00020347949944043138,0.5946039796397702,0.5944005001403297
blockage_day_count,5252.594330634621,0.0,6.119544205921254,9.877889743394356,3.758345537473102
email_txn_last_1h,2200.576533887273,0.0,65.87638620408994,20.06250472239397,45.81388148169597
merchant_txn_last_1h,2164.1674902226114,0.0,308.6292603520195,453.67811680413456,145.04885645211505
price_log,1836.6135385316445,0.0,4.380978139013081,5.264957356723905,0.8839792177108245
merchant_historic_fraud_count,1731.8561861571077,0.0,1026.743615830705,692.68975985642,334.05385597428506
settlement_period,960.8426093794791,6.2810022275565045e-211,1.0015260962458032,1.1002925553207354,0.0987664590749322
email_amount_last_24h,818.3083305909962,5.955408665830434e-180,14673.347700211754,152844.17835889975,138170.830658688
txn_per_price,631.6884759458951,2.2157565680361988e-139,0.1575055092097602,0.07297590245037401,0.08452960675938619
installment,532.2035589604932,9.58179563185128e-118,1.0117000712178248,1.3070374360849095,0.29533736486708473
merchant_txn_per_price_1h,461.3942190071082,2.4317877620000393e-102,60.69854177968792,31.515149387404076,29.183392392283846
price_sqrt,181.68194043816067,2.0861951680531403e-41,19.349469036026846,24.075088917030428,4.725619881003581
email_txn_last_24h,158.0262713270233,3.0604161498439174e-36,160.404720724387,258.258755358611,97.85403463422398
price_deviation_from_avg,117.42327075308036,2.321607176479862e-27,0.19837811136044772,0.345762585380747,0.14738447402029928
email_avg_price,91.60932531471178,1.0566679659371717e-21,1172.462646854745,1785.22115515153,612.7585082967851
price,91.31676601499503,1.2250258857221874e-21,1145.3749756004813,1785.3067594043885,639.9317838039071
merchant_age_days,58.08986699876838,2.5048288356728625e-14,2090.403296367891,2172.289024979575,81.88572861168404
bin_number,23.91367261118488,1.0075863704028207e-06,535460.7389358022,521282.97202092095,14177.7669148813
card_txn_last_24h,20.737653687595014,5.267205067010095e-06,5.264726828772001,13.83292419315789,8.568197364385888
card_txn_last_1h,1.7159170603069598,0.19021955485783093,4.947298809644928,6.091099842742271,1.1438010330973434
payment_source_id,,,10180.717265235528,4311111.478475942,4300930.761210707
